Link outLinkSimilarity inLinkSimilarity lexicalSimilarity numOutLinks numInLinks length CategorySimilarity
/wiki/The_Dark_Knight_(film) 0.0785340314136 0.0508953817154 0.149709302326 288 1644 44268 7
/wiki/Ennio_Morricone 0.00263852242744 0.0041928721174 0.081220657277 250 845 19454 0
/wiki/Johnny_Marr 0.0193548387097 0.00094696969697 0.0844930417495 201 464 18823 0
/wiki/The_Smiths 0.00621118012422 0.00142247510669 0.0994854202401 179 1566 26910 0
/wiki/Douglas_Hofstadter 0.00438596491228 0.0 0.0734573947111 73 385 15004 0
/wiki/Non,_je_ne_regrette_rien 0.00561797752809 0.00155520995334 0.0232108317215 19 50 2642 0
/wiki/La_Vie_en_rose_(film) 0.0248756218905 0.0149051490515 0.0803667745415 50 168 11223 1
/wiki/Zack_Hemsey 0.00609756097561 0.0 0.0191256830601 5 2 995 0
/wiki/Wikipedia:Citation_needed 0.0 0.000363108206245 0.00276816608997 2 4916 186 0
/wiki/Viral_marketing 0.00961538461538 0.00170648464164 0.0674846625767 53 590 9916 0
/wiki/IMAX 0.0398773006135 0.00779220779221 0.114790286976 200 1371 27409 1
/wiki/Leicester_Square 0.00434782608696 0.000984251968504 0.0508670520231 71 424 6943 0
/wiki/London 0.00468933177022 0.000918273645546 0.0916932907348 851 4857 59947 0
/wiki/IMAX 0.0398773006135 0.00779220779221 0.114790286976 200 1371 27409 1
/wiki/Wikipedia:Please_clarify 0.0 0.000542789940293 0.012278308322 0 4936 791 0
/wiki/Science_fiction_film 0.0163551401869 0.00583657587549 0.10390656464 362 1493 32194 0
/wiki/Avatar_(2009_film) 0.0553097345133 0.066958698373 0.166218938885 369 1132 60150 6
/wiki/The_Other_Guys 0.0261780104712 0.0361271676301 0.0639431616341 43 123 6479 3
/wiki/Christopher_Nolan 0.0660377358491 0.131702728128 0.102172636524 102 609 9612 0
/wiki/The_Dark_Knight_(film) 0.0785340314136 0.0508953817154 0.149709302326 288 1644 44268 7
/wiki/Leonardo_DiCaprio 0.0268292682927 0.019469983775 0.111400086693 300 1293 25825 0
/wiki/Titanic_(1997_film) 0.0482954545455 0.0277649236465 0.153952843273 256 1664 52367 2
/wiki/2010_in_film#Highest-grossing_films 0.0277777777778 0.00625978090767 0.0318212593094 29 49 2276 1
/wiki/Toy_Story_3 0.065671641791 0.0703342618384 0.127066603684 229 947 33135 3
/wiki/Alice_in_Wonderland_(2010_film) 0.0815602836879 0.0594795539033 0.135956175299 159 549 20140 3
/wiki/Harry_Potter_and_the_Deathly_Hallows_(film) 0.0524475524476 0.0469116497263 0.1442521083 174 772 31366 3
/wiki/List_of_highest-grossing_films 0.0114285714286 0.0133333333333 0.0411042944785 17 398 5452 0
/wiki/China 0.00337837837838 0.000195236235845 0.0772173913043 516 4529 41023 0
/wiki/United_Kingdom 0.0117647058824 0.000363834818992 0.0929681327364 1421 4905 87975 0
/wiki/Ireland 0.00320512820513 0.0 0.0840052015605 897 4661 78066 0
/wiki/Malta 0.00380952380952 0.000362910542551 0.0776001853139 1128 4955 88780 0
/wiki/France 0.00892857142857 0.0 0.0805617147081 1153 4814 91931 0
/wiki/Maghreb 0.0107142857143 0.0016835016835 0.0562880324544 145 1208 12680 0
/wiki/Japan 0.0102432778489 0.000185116623473 0.0779953534683 774 4809 43987 0
/wiki/South_Korea 0.00811907983762 0.000358808754934 0.0871369294606 746 4983 61499 0
/wiki/Rotten_Tomatoes 0.0257731958763 0.0028388928318 0.0709177592372 41 5077 6968 0
/wiki/Metacritic 0.0257731958763 0.00283185840708 0.0684852002322 41 5163 8552 0
/wiki/CinemaScore 0.0104166666667 0.003125 0.0343074968234 34 48 3864 0
/wiki/Rolling_Stone 0.0045045045045 0.000465404902265 0.0571590265988 69 6032 8514 0
/wiki/Peter_Travers 0.00952380952381 0.00877192982456 0.0184940554822 53 333 1605 0
/wiki/Variety_(magazine) 0.0154639175258 0.00367585630744 0.0419708029197 37 5484 4788 0
